timestep,reward,source
5120,-2282.931640625,train
5120,-2332.28125,train
5120,-1131.1019287109375,train
5120,-124.78033447265625,train
5120,-1738.7716064453125,train
5120,-1537.943115234375,train
5120,-1793.7718505859375,train
5120,-1575.9896240234375,train
5120,-1684.153076171875,train
5120,-1338.6436767578125,train
5120,-3187.189697265625,train
5120,-1445.611083984375,train
5120,-1948.1328125,train
5120,-1148.1986083984375,train
5120,-1599.3709716796875,train
5120,-2456.730224609375,train
5120,-2284.88427734375,train
5120,-1294.03076171875,train
5120,-1431.2327880859375,train
5120,-1410.0101318359375,train
5120,-2437.19775390625,train
5120,-1008.3829956054688,train
5120,-1164.985107421875,train
5120,-786.845458984375,train
5120,-591.5328979492188,train
5120,-4792.46240234375,train
5120,-1545.63720703125,train
5120,-1799.935546875,train
5120,-2868.797607421875,train
5120,-1891.1602783203125,train
5120,-2478.989013671875,train
5120,-1112.004150390625,train
5120,-1194.5621337890625,train
5120,-1487.8013916015625,train
5200,-2490.8525390625,eval
5200,-1721.45556640625,train
5440,-2224.255126953125,train
5440,-1721.45556640625,eval
5632,-1697.6328125,train
5632,-4734.84716796875,train
5632,-2314.09765625,train
5632,-1103.62451171875,train
5632,-2512.775146484375,train
5632,-2855.77978515625,train
5632,-2858.590087890625,train
5632,-638.9585571289062,train
5632,-1542.1654052734375,train
5632,-3218.578857421875,train
5632,-1321.1165771484375,train
5632,-916.121337890625,train
5632,-1074.19921875,train
5632,-1434.2354736328125,train
5632,-1815.919677734375,train
5632,-2019.0609130859375,train
5632,-1672.809814453125,train
5632,-142.6155548095703,train
5632,-1807.308837890625,train
5632,-2412.7021484375,train
5632,-1763.912109375,train
5632,-1621.9920654296875,train
5632,-1799.935546875,train
5632,-1456.700927734375,train
5632,-1484.84521484375,train
5632,-2440.577880859375,train
5632,-2142.130615234375,train
5632,-1801.6351318359375,train
5632,-1387.3665771484375,train
5632,-1305.1783447265625,train
5632,-1479.9888916015625,train
5632,-999.1914672851562,train
5632,-2149.517822265625,train
5632,-1153.6441650390625,train
5632,-2374.778564453125,train
5632,-1565.25048828125,train
5632,-2318.5400390625,train
5632,-1586.019287109375,train
5632,-1121.688232421875,train
5632,-1148.7364501953125,train
5680,-2224.255126953125,eval
5680,-1694.7215576171875,train
5920,-1694.7215576171875,eval
5920,-3745.842529296875,train
6144,-1133.3326416015625,train
6144,-917.5509033203125,train
6144,-2446.763916015625,train
6144,-1785.1629638671875,train
6144,-2862.444091796875,train
6144,-720.606689453125,train
6144,-2394.978515625,train
6144,-1521.7193603515625,train
6144,-2829.15625,train
6144,-2111.66357421875,train
6144,-1323.6578369140625,train
6144,-177.70291137695312,train
6144,-1608.579833984375,train
6144,-965.93017578125,train
6144,-1715.2232666015625,train
6144,-4658.77978515625,train
6144,-3198.246826171875,train
6144,-1807.388671875,train
6144,-1794.3240966796875,train
6144,-1772.6302490234375,train
